"STT","ngay","Thu","Vnindex_rate","thuba","thutu","thunam","thusau"
"1","28-Jul-00","Thứ sáu","0.0000","0","0","0","1"
"2","31-Jul-00","Thứ hai","0.0150","0","0","0","0"
"3","2-Aug-00","Thứ tư","0.0187","0","1","0","0"
"4","4-Aug-00","Thứ sáu","0.0174","0","0","0","1"
"5","7-Aug-00","Thứ hai","0.0162","0","0","0","0"
"6","9-Aug-00","Thứ tư","0.0159","0","1","0","0"
"7","11-Aug-00","Thứ sáu","0.0166","0","0","0","1"
"8","14-Aug-00","Thứ hai","0.0154","0","0","0","0"
"9","16-Aug-00","Thứ tư","0.0152","0","1","0","0"
"10","18-Aug-00","Thứ sáu","0.0149","0","0","0","1"
"11","21-Aug-00","Thứ hai","0.0147","0","0","0","0"
"12","23-Aug-00","Thứ tư","0.0154","0","1","0","0"
"13","25-Aug-00","Thứ sáu","-0.0017","0","0","0","1"
"14","28-Aug-00","Thứ hai","-0.0152","0","0","0","0"
"15","30-Aug-00","Thứ tư","-0.0154","0","1","0","0"
"16","1-Sep-00","Thứ sáu","-0.0156","0","0","0","1"
"17","6-Sep-00","Thứ tư","-0.0079","0","1","0","0"
"18","8-Sep-00","Thứ sáu","-0.0009","0","0","0","1"
"19","11-Sep-00","Thứ hai","0.0151","0","0","0","0"
"20","13-Sep-00","Thứ tư","0.0175","0","1","0","0"
"21","15-Sep-00","Thứ sáu","0.0164","0","0","0","1"
"22","18-Sep-00","Thứ hai","0.0017","0","0","0","0"
"23","20-Sep-00","Thứ tư","0.0000","0","1","0","0"
"24","22-Sep-00","Thứ sáu","0.0051","0","0","0","1"
"25","25-Sep-00","Thứ hai","0.0017","0","0","0","0"
"26","27-Sep-00","Thứ tư","0.0059","0","1","0","0"
"27","29-Sep-00","Thứ sáu","0.0084","0","0","0","1"
"28","2-Oct-00","Thứ hai","0.0017","0","0","0","0"
"29","4-Oct-00","Thứ tư","0.0017","0","1","0","0"
"30","6-Oct-00","Thứ sáu","0.0091","0","0","0","1"
"31","9-Oct-00","Thứ hai","0.0172","0","0","0","0"
"32","11-Oct-00","Thứ tư","0.0177","0","1","0","0"
"33","13-Oct-00","Thứ sáu","0.0166","0","0","0","1"
"34","16-Oct-00","Thứ hai","0.0163","0","0","0","0"
"35","18-Oct-00","Thứ tư","0.0161","0","1","0","0"
"36","20-Oct-00","Thứ sáu","0.0166","0","0","0","1"
"37","23-Oct-00","Thứ hai","0.0119","0","0","0","0"
"38","25-Oct-00","Thứ tư","0.0037","0","1","0","0"
"39","27-Oct-00","Thứ sáu","0.0182","0","0","0","1"
"40","30-Oct-00","Thứ hai","0.0086","0","0","0","0"
"41","1-Nov-00","Thứ tư","0.0178","0","1","0","0"
"42","3-Nov-00","Thứ sáu","0.0174","0","0","0","1"
"43","6-Nov-00","Thứ hai","0.0192","0","0","0","0"
"44","8-Nov-00","Thứ tư","0.0182","0","1","0","0"
"45","10-Nov-00","Thứ sáu","0.0185","0","0","0","1"
"46","13-Nov-00","Thứ hai","0.0175","0","0","0","0"
"47","15-Nov-00","Thứ tư","0.0179","0","1","0","0"
"48","17-Nov-00","Thứ sáu","0.0175","0","0","0","1"
"49","20-Nov-00","Thứ hai","0.0203","0","0","0","0"
"50","22-Nov-00","Thứ tư","-0.0012","0","1","0","0"
"51","24-Nov-00","Thứ sáu","0.0042","0","0","0","1"
"52","27-Nov-00","Thứ hai","-0.0036","0","0","0","0"
"53","29-Nov-00","Thứ tư","0.0187","0","1","0","0"
"54","1-Dec-00","Thứ sáu","0.0190","0","0","0","1"
"55","4-Dec-00","Thứ hai","0.0180","0","0","0","0"
"56","6-Dec-00","Thứ tư","0.0177","0","1","0","0"
"57","8-Dec-00","Thứ sáu","0.0180","0","0","0","1"
"58","11-Dec-00","Thứ hai","0.0474","0","0","0","0"
"59","13-Dec-00","Thứ tư","-0.0284","0","1","0","0"
"60","15-Dec-00","Thứ sáu","0.0168","0","0","0","1"
"61","18-Dec-00","Thứ hai","0.0187","0","0","0","0"
"62","20-Dec-00","Thứ tư","0.0194","0","1","0","0"
"63","22-Dec-00","Thứ sáu","0.0195","0","0","0","1"
"64","25-Dec-00","Thứ hai","0.0186","0","0","0","0"
"65","27-Dec-00","Thứ tư","0.0040","0","1","0","0"
"66","29-Dec-00","Thứ sáu","0.0182","0","0","0","1"
